tgl_hari_krj,musim_hari,hari_kerja,jml_musim_hari,tgl_hari_jam,musim_jam,jam,jml_musim_jam
2011-06-26,Fall,0.0,26.0,,,,
2011-07-03,Fall,0.0,26.0,,,,
2011-07-10,Fall,0.0,26.0,,,,
2011-07-17,Fall,0.0,26.0,,,,
2011-07-24,Fall,0.0,26.0,,,,
2011-07-31,Fall,0.0,26.0,,,,
2011-08-07,Fall,0.0,26.0,,,,
2011-08-14,Fall,0.0,26.0,,,,
2011-08-21,Fall,0.0,26.0,,,,
2011-08-28,Fall,0.0,26.0,,,,
2011-09-04,Fall,0.0,26.0,,,,
2011-09-11,Fall,0.0,26.0,,,,
2011-09-18,Fall,0.0,26.0,,,,
2012-06-24,Fall,0.0,26.0,,,,
2012-07-01,Fall,0.0,26.0,,,,
2012-07-08,Fall,0.0,26.0,,,,
2012-07-15,Fall,0.0,26.0,,,,
2012-07-22,Fall,0.0,26.0,,,,
2012-07-29,Fall,0.0,26.0,,,,
2012-08-05,Fall,0.0,26.0,,,,
2012-08-12,Fall,0.0,26.0,,,,
2012-08-19,Fall,0.0,26.0,,,,
2012-08-26,Fall,0.0,26.0,,,,
2012-09-02,Fall,0.0,26.0,,,,
2012-09-09,Fall,0.0,26.0,,,,
2012-09-16,Fall,0.0,26.0,,,,
2011-06-27,Fall,1.0,26.0,,,,
2011-07-04,Fall,1.0,26.0,,,,
2011-07-11,Fall,1.0,26.0,,,,
2011-07-18,Fall,1.0,26.0,,,,
2011-07-25,Fall,1.0,26.0,,,,
2011-08-01,Fall,1.0,26.0,,,,
2011-08-08,Fall,1.0,26.0,,,,
2011-08-15,Fall,1.0,26.0,,,,
2011-08-22,Fall,1.0,26.0,,,,
2011-08-29,Fall,1.0,26.0,,,,
2011-09-05,Fall,1.0,26.0,,,,
2011-09-12,Fall,1.0,26.0,,,,
2011-09-19,Fall,1.0,26.0,,,,
2012-06-25,Fall,1.0,26.0,,,,
2012-07-02,Fall,1.0,26.0,,,,
2012-07-09,Fall,1.0,26.0,,,,
2012-07-16,Fall,1.0,26.0,,,,
2012-07-23,Fall,1.0,26.0,,,,
2012-07-30,Fall,1.0,26.0,,,,
2012-08-06,Fall,1.0,26.0,,,,
2012-08-13,Fall,1.0,26.0,,,,
2012-08-20,Fall,1.0,26.0,,,,
2012-08-27,Fall,1.0,26.0,,,,
